xkcd_color,xkcd_color_hex,xkcd_r,xkcd_g,xkcd_b,design_color,design_color_hex,design_r,design_g,design_b,common_color,common_color_hex,common_r,common_g,common_b,color_family,color_type,color_or_neutral
strong pink,#ff0789,255,7,137,hot pink,#fe0298,254,2,152,hot pink,#fd039f,253,3,159,violet red,neon color,color
sun yellow,#ffdf22,255,223,34,sunshine,#fae23a,250,226,58,gen z yellow,#fbf132,251,241,50,yellow,saturated color,color
sunflower,#ffc512,255,197,18,goldenrod,#fbc20a,251,194,10,dandelion,#fbc20a,251,194,10,orange yellow,saturated color,color
sunflower yellow,#ffda03,255,218,3,sunshine,#fae23a,250,226,58,gen z yellow,#fbf132,251,241,50,yellow,saturated color,color
sunny yellow,#fff917,255,249,23,gen z yellow,#fcfc2c,252,252,44,gen z yellow,#fbf132,251,241,50,yellow,saturated color,color
sunshine yellow,#fffd37,255,253,55,gen z yellow,#fcfc2c,252,252,44,gen z yellow,#fbf132,251,241,50,yellow,saturated color,color
swamp,#698339,105,131,57,army green,#6a7d14,106,125,20,camouflage green,#565e11,86,94,17,olive,dark neutral,neutral
swamp green,#748500,116,133,0,yellow olive,#727e04,114,126,4,swamp green,#6f7410,111,116,16,yellow green,dark color,color
tan,#d1b26f,209,178,111,dark mustard,#b8950c,184,149,12,mustard,#b8950c,184,149,12,orange yellow,dark color,color
tan brown,#ab7e4c,171,126,76,warm khaki,#ab824c,171,130,76,mocha,#aa8556,170,133,86,khaki,medium neutral,neutral
tan green,#a9be70,169,190,112,aloe,#b8da8e,184,218,142,aloe,#b8da8e,184,218,142,green,pastel,color
tangerine,#ff9408,255,148,8,tangerine,#ff9408,255,148,8,light pumpkin,#f08504,240,133,4,orange,tinted color,color
taupe,#b9a281,185,162,129,putty,#bba885,187,168,133,khaki,#c8ac7f,200,172,127,khaki,light neutral,neutral
tea,#65ab7c,101,171,124,granny smith apple,#74ae74,116,174,116,soft green,#8ddd79,141,221,121,green,tinted color,color
tea green,#bdf8a3,189,248,163,hospital green,#9bf78d,155,247,141,soft green,#8ddd79,141,221,121,green,tinted color,color
teal,#029386,2,147,134,teal,#148f8a,20,143,138,peacock blue,#179e95,23,158,149,green blue,saturated color,color
teal blue,#01889f,1,136,159,ocean teal,#037e90,3,126,144,ocean teal,#037e90,3,126,144,green blue,muted color,color
teal green,#25a36f,37,163,111,oz green,#23a76d,35,167,109,tree green,#20b069,32,176,105,blue green,saturated color,color
tealish,#24bca8,36,188,168,light turquoise,#1bbbab,27,187,171,peacock blue,#179e95,23,158,149,green blue,saturated color,color
tealish green,#0cdc73,12,220,115,bright mint,#1fd37c,31,211,124,mint green,#52ec9c,82,236,156,blue green,tinted color,color
terra cotta,#c9643b,201,100,59,tobacco,#c9643b,201,100,59,terra cotta,#ca663f,202,102,63,red orange,dark color,color
terracota,#cb6843,203,104,67,paprika,#ca6742,202,103,66,terra cotta,#ca663f,202,102,63,red orange,dark color,color
terracotta,#ca6641,202,102,65,paprika,#ca6742,202,103,66,terra cotta,#ca663f,202,102,63,red orange,dark color,color
tiffany blue,#7bf2da,123,242,218,light cyan,#7edec6,126,222,198,aqua,#4cd4b9,76,212,185,blue green,tinted color,color
tomato,#ef4026,239,64,38,safety orange,#f73d13,247,61,19,rorange,#f12c11,241,44,17,orange red,saturated color,color
tomato red,#ec2d01,236,45,1,safety orange,#f73d13,247,61,19,rorange,#f12c11,241,44,17,orange red,saturated color,color
topaz,#13bbaf,19,187,175,light turquoise,#1bbbab,27,187,171,peacock blue,#179e95,23,158,149,green blue,saturated color,color
toupe,#c7ac7d,199,172,125,light khaki,#d8ba89,216,186,137,khaki,#c8ac7f,200,172,127,khaki,light neutral,neutral
toxic green,#61de2a,97,222,42,neon green,#53f72c,83,247,44,neon green,#53f72c,83,247,44,green,neon color,color
tree green,#2a7e19,42,126,25,spruce,#187632,24,118,50,primary green,#39a332,57,163,50,green,saturated color,color
true blue,#010fcc,1,15,204,ultramarine blue,#0f1fe9,15,31,233,cobalt blue,#1235df,18,53,223,blue,saturated color,color
true green,#089404,8,148,4,primary green,#1aa248,26,162,72,primary green,#39a332,57,163,50,green,saturated color,color
turquoise,#06c2ac,6,194,172,turquoise,#05cdaf,5,205,175,aqua,#4cd4b9,76,212,185,blue green,tinted color,color
turquoise blue,#06b1c4,6,177,196,caribbean blue,#13ebef,19,235,239,caribbean blue,#13ebef,19,235,239,green blue,tinted color,color
turquoise green,#04f489,4,244,137,lime,#0ff684,15,246,132,mint green,#52ec9c,82,236,156,blue green,tinted color,color
turtle green,#75b84f,117,184,79,fern green,#659c40,101,156,64,stem green,#659c40,101,156,64,yellow green,tinted color,color
twilight,#4e518b,78,81,139,dusk,#4e5286,78,82,134,dusk purple,#4e5286,78,82,134,blue violet,dark color,color
twilight blue,#0a437a,10,67,122,indigo,#033c72,3,60,114,navy,#031656,3,22,86,blue,dark neutral,neutral
ugly blue,#31668a,49,102,138,ocean blue,#187095,24,112,149,dark aqua,#156588,21,101,136,green blue,dark color,color
ugly brown,#7d7103,125,113,3,ugly brown,#7d7103,125,113,3,camouflage green,#565e11,86,94,17,olive,dark neutral,neutral
ugly green,#7a9703,122,151,3,pea green,#95a911,149,169,17,pea green,#95a911,149,169,17,yellow green,muted color,color
ugly pink,#cd7584,205,117,132,moody pink,#d58998,213,137,152,moody pink,#d58998,213,137,152,violet red,pastel,color
ugly purple,#a442a0,164,66,160,barney,#9b3ca0,155,60,160,primary purple,#8724cd,135,36,205,purple,saturated color,color
ugly yellow,#d0c101,208,193,1,butter yellow,#f7f2ad,247,242,173,butter yellow,#f7f2ad,247,242,173,yellow,pastel,color
ultramarine,#2000b1,32,0,177,cobalt medium,#141ca5,20,28,165,cobalt blue,#1235df,18,53,223,blue,saturated color,color
ultramarine blue,#1805db,24,5,219,ultramarine blue,#0f1fe9,15,31,233,cobalt blue,#1235df,18,53,223,blue,saturated color,color
umber,#b26400,178,100,0,copper,#b55f07,181,95,7,sienna,#a25e15,162,94,21,sienna,painterly neutral,neutral
velvet,#750851,117,8,81,boysenberry,#730454,115,4,84,maroon,#62152f,98,21,47,red violet,dark color,color
vermillion,#f4320c,244,50,12,vermillion,#f4320c,244,50,12,vermilion,#f4320c,244,50,12,red orange,saturated color,color
very dark blue,#000133,0,1,51,navy,#040937,4,9,55,navy,#031656,3,22,86,blue,dark neutral,neutral
very dark brown,#1d0200,29,2,0,black,#0c0504,12,5,4,black,#0c0504,12,5,4,black,dark neutral,neutral
very dark green,#062e03,6,46,3,hunter green,#06400a,6,64,10,hunter green,#06400a,6,64,10,blue green,dark color,color
very dark purple,#2a0134,42,1,52,eggplant,#35043c,53,4,60,dark purple,#390346,57,3,70,purple,dark color,color
very light blue,#d5ffff,213,255,255,pale aqua,#c9fefb,201,254,251,light aqua,#b6fbf6,182,251,246,green blue,pastel,color
very light brown,#d3b683,211,182,131,light khaki,#d8ba89,216,186,137,khaki,#c8ac7f,200,172,127,khaki,light neutral,neutral
very light green,#d1ffbd,209,255,189,pastel neon green,#cdfdba,205,253,186,neon lime sherbet,#8cfb7e,140,251,126,blue green,neon color,color
very light pink,#fff4f2,255,244,242,pink whisper,#fff4f2,255,244,242,pink,#fec9de,254,201,222,red,pastel,color
very light purple,#f6cefc,246,206,252,pale lavender,#f0c9fd,240,201,253,warm lavender,#f0c9fd,240,201,253,red violet,pastel,color
very pale blue,#d6fffe,214,255,254,pale aqua,#c9fefb,201,254,251,light aqua,#b6fbf6,182,251,246,green blue,pastel,color
very pale green,#cffdbc,207,253,188,pastel neon green,#cdfdba,205,253,186,neon lime sherbet,#8cfb7e,140,251,126,blue green,neon color,color
vibrant blue,#0339f8,3,57,248,ultramarine blue,#0f1fe9,15,31,233,cobalt blue,#1235df,18,53,223,blue,saturated color,color
vibrant green,#0add08,10,221,8,neon green,#53f72c,83,247,44,neon green,#53f72c,83,247,44,green,neon color,color
vibrant purple,#ad03de,173,3,222,magenta,#a90bca,169,11,202,magenta,#a90bca,169,11,202,purple,saturated color,color
violet,#9a0eea,154,14,234,ultraviolet,#9613df,150,19,223,primary purple,#8724cd,135,36,205,purple,saturated color,color
violet blue,#510ac9,81,10,201,bright purple,#4d21bf,77,33,191,bright purple,#5636c4,86,54,196,blue violet,saturated color,color
violet pink,#fb5ffc,251,95,252,faded magenta,#ee42e2,238,66,226,muted magenta,#e458d3,228,88,211,red violet,tinted color,color
violet red,#a50055,165,0,85,malbec,#90074b,144,7,75,wine,#980f60,152,15,96,red violet,saturated color,color
viridian,#1e9167,30,145,103,oz green,#23a76d,35,167,109,tree green,#20b069,32,176,105,blue green,saturated color,color
vivid blue,#152eff,21,46,255,ultramarine blue,#0f1fe9,15,31,233,cobalt blue,#1235df,18,53,223,blue,saturated color,color
vivid green,#2fef10,47,239,16,blue neon green,#5bfa52,91,250,82,neon lime sherbet,#8cfb7e,140,251,126,blue green,neon color,color
vivid purple,#9900fa,153,0,250,ultraviolet,#9613df,150,19,223,primary purple,#8724cd,135,36,205,purple,saturated color,color
vomit,#a2a415,162,164,21,pea green,#95a911,149,169,17,pea green,#95a911,149,169,17,yellow green,muted color,color
vomit green,#89a203,137,162,3,pea green,#95a911,149,169,17,pea green,#95a911,149,169,17,yellow green,muted color,color
vomit yellow,#c7c10c,199,193,12,chartreuse,#b6a306,182,163,6,chartreuse,#b6a306,182,163,6,green yellow,muted color,color
warm blue,#4b57db,75,87,219,soft blue,#2d6ebd,45,110,189,bright blue,#2078c7,32,120,199,blue,tinted color,color
warm brown,#964e02,150,78,2,warm brown,#8a5a04,138,90,4,sienna,#a25e15,162,94,21,sienna,painterly neutral,neutral
warm grey,#978a84,151,138,132,medium grey,#8e908d,142,144,141,medium grey,#848b8d,132,139,141,grey,medium neutral,neutral
warm pink,#fb5581,251,85,129,bubblegum pink,#fa6294,250,98,148,medium pink,#fb5f87,251,95,135,red,tinted color,color
warm purple,#952e8f,149,46,143,barney,#9b3ca0,155,60,160,primary purple,#8724cd,135,36,205,purple,saturated color,color
washed out green,#bcf5a6,188,245,166,aloe,#b8da8e,184,218,142,aloe,#b8da8e,184,218,142,green,pastel,color
water blue,#0e87cc,14,135,204,azure blue,#088cda,8,140,218,bright blue,#2078c7,32,120,199,blue,tinted color,color
watermelon,#fd4659,253,70,89,watermelon,#fb304f,251,48,79,medium pink,#fb5f87,251,95,135,red,tinted color,color
weird green,#3ae57f,58,229,127,hospital green,#9bf78d,155,247,141,soft green,#8ddd79,141,221,121,green,tinted color,color
wheat,#fbdd7e,251,221,126,soft yellow,#f6d96a,246,217,106,soft yellow,#f5e667,245,230,103,yellow,tinted color,color
white,#ffffff,255,255,255,white,#fefefe,254,254,254,white,#fefefe,254,254,254,white,light neutral,neutral
windows blue,#3778bf,55,120,191,soft blue,#2d6ebd,45,110,189,bright blue,#2078c7,32,120,199,blue,tinted color,color
wine,#80013f,128,1,63,malbec,#90074b,144,7,75,wine,#980f60,152,15,96,red violet,saturated color,color
wine red,#7b0323,123,3,35,claret,#6d042a,109,4,42,wine,#980f60,152,15,96,red violet,saturated color,color
wintergreen,#20f986,32,249,134,lime,#0ff684,15,246,132,mint green,#52ec9c,82,236,156,blue green,tinted color,color
wisteria,#a87dc2,168,125,194,wisteria,#9f75bf,159,117,191,muted purple,#8c588e,140,88,142,red violet,muted color,color
yellow,#ffff14,255,255,20,gen z yellow,#fcfc2c,252,252,44,gen z yellow,#fbf132,251,241,50,yellow,saturated color,color
yellow brown,#b79400,183,148,0,dark mustard,#b8950c,184,149,12,mustard,#b8950c,184,149,12,orange yellow,dark color,color
yellow green,#c0fb2d,192,251,45,neon lime yellow,#c5f622,197,246,34,neon lime,#c1f529,193,245,41,green yellow,neon color,color
yellow ochre,#cb9d06,203,157,6,dark mustard,#b8950c,184,149,12,mustard,#b8950c,184,149,12,orange yellow,dark color,color
yellow orange,#fcb001,252,176,1,kumquat,#fdab30,253,171,48,navel orange,#fdab30,253,171,48,yellow orange,tinted color,color
yellow tan,#ffe36e,255,227,110,soft yellow,#f6d96a,246,217,106,soft yellow,#f5e667,245,230,103,yellow,tinted color,color
yellow/green,#c8fd3d,200,253,61,neon lime yellow,#c5f622,197,246,34,neon lime,#c1f529,193,245,41,green yellow,neon color,color
yellowgreen,#bbf90f,187,249,15,neon lime yellow,#c5f622,197,246,34,neon lime,#c1f529,193,245,41,green yellow,neon color,color
yellowish,#faee66,250,238,102,sunshine,#fae23a,250,226,58,gen z yellow,#fbf132,251,241,50,yellow,saturated color,color
yellowish brown,#9b7a01,155,122,1,dark mustard,#b8950c,184,149,12,mustard,#b8950c,184,149,12,orange yellow,dark color,color
yellowish green,#b0dd16,176,221,22,neon limeade,#c1f354,193,243,84,neon lemon lime,#c1f354,193,243,84,yellow green,neon color,color
yellowish orange,#ffab0f,255,171,15,kumquat,#fdab30,253,171,48,navel orange,#fdab30,253,171,48,yellow orange,tinted color,color
yellowish tan,#fcfc81,252,252,129,neon yellow,#f1ed5b,241,237,91,neon yellow,#f6f489,246,244,137,yellow,neon color,color
yellowy brown,#ae8b0c,174,139,12,dark mustard,#b8950c,184,149,12,mustard,#b8950c,184,149,12,orange yellow,dark color,color
yellowy green,#bff128,191,241,40,neon limeade,#c1f354,193,243,84,neon lemon lime,#c1f354,193,243,84,yellow green,neon color,color
