xkcd_color,xkcd_color_hex,xkcd_r,xkcd_g,xkcd_b,design_color,design_color_hex,design_r,design_g,design_b,common_color,common_color_hex,common_r,common_g,common_b,color_family,color_type,color_or_neutral
light maroon,#a24857,162,72,87,light maroon,#b26368,178,99,104,mauve,#c7717f,199,113,127,red,make-up color,color
light mauve,#c292a1,194,146,161,blush purple,#c292a1,194,146,161,blush purple,#c292a1,194,146,161,violet red,pastel,color
light mint,#b6ffbb,182,255,187,mint,#aaf6b9,170,246,185,fresh mint,#aaf6b9,170,246,185,blue green,pastel,color
light mint green,#a6fbb2,166,251,178,mint,#aaf6b9,170,246,185,fresh mint,#aaf6b9,170,246,185,blue green,pastel,color
light moss green,#a6c875,166,200,117,fern green,#659c40,101,156,64,stem green,#659c40,101,156,64,yellow green,tinted color,color
light mustard,#f7d560,247,213,96,soft yellow,#f6d96a,246,217,106,soft yellow,#f5e667,245,230,103,yellow,tinted color,color
light navy,#155084,21,80,132,dark indigo blue,#3b6b93,59,107,147,indigo blue,#5a82a8,90,130,168,blue,muted color,color
light navy blue,#2e5a88,46,90,136,indigo bright blue,#2a568a,42,86,138,indigo blue,#5a82a8,90,130,168,blue,muted color,color
light neon green,#4efd54,78,253,84,neon green,#53f72c,83,247,44,neon green,#53f72c,83,247,44,green,neon color,color
light olive,#acbf69,172,191,105,aloe,#b8da8e,184,218,142,aloe,#b8da8e,184,218,142,green,pastel,color
light olive green,#a4be5c,164,190,92,pea green,#95a911,149,169,17,pea green,#95a911,149,169,17,yellow green,muted color,color
light orange,#fdaa48,253,170,72,kumquat,#fdab30,253,171,48,navel orange,#fdab30,253,171,48,yellow orange,tinted color,color
light pastel green,#b2fba5,178,251,165,hospital green,#9bf78d,155,247,141,soft green,#8ddd79,141,221,121,green,tinted color,color
light pea green,#c4fe82,196,254,130,pistachio,#c0fc85,192,252,133,lime yellow,#c0fc85,192,252,133,green yellow,tinted color,color
light peach,#ffd8b1,255,216,177,light khaki,#d8ba89,216,186,137,khaki,#c8ac7f,200,172,127,khaki,light neutral,neutral
light periwinkle,#c1c6fc,193,198,252,light periwinkle,#c1c6fc,193,198,252,lavender,#c1c6fc,193,198,252,blue violet,pastel,color
light pink,#ffd1df,255,209,223,ballet pink,#fec0da,254,192,218,pink,#fec9de,254,201,222,red,pastel,color
light plum,#9d5783,157,87,131,faded eggplant,#8c497d,140,73,125,muted purple,#8c588e,140,88,142,red violet,muted color,color
light purple,#bf77f6,191,119,246,violet grape,#b262f4,178,98,244,grape,#ae62e3,174,98,227,purple,tinted color,color
light red,#ff474c,255,71,76,watermelon,#fb304f,251,48,79,medium pink,#fb5f87,251,95,135,red,tinted color,color
light rose,#ffc5cb,255,197,203,coral sunset pink,#fec1cb,254,193,203,coral sunset pink,#fec1cb,254,193,203,orange red,pastel,color
